구,동,번지,본번,부번,단지명,평수,보증금,월세,계약기간,층,건축년도,도로명,계약구분,계약년월,계약일
강남구,개포동,1237-3,1237,3,(1237-3),9,5000,70,1,4,2020,논현로20길 12,-,202104,3
강남구,개포동,1237-3,1237,3,(1237-3),9,3000,80,1,5,2020,논현로20길 12,-,202107,12
강남구,개포동,1237-3,1237,3,(1237-3),9,5000,70,1,2,2020,논현로20길 12,신규,202109,30
강남구,개포동,3월 13일,13,3,대청타워,9,1000,65,1,9,1997,개포로 623,-,202106,4
강남구,개포동,3월 13일,13,3,대청타워,9,100,62,1,12,1997,개포로 623,신규,202106,12
강남구,개포동,3월 13일,13,3,대청타워,9,1000,70,1,10,1997,개포로 623,신규,202106,23
강남구,개포동,3월 13일,13,3,대청타워,10,1000,65,2,9,1997,개포로 623,갱신,202106,30
강남구,개포동,3월 13일,13,3,대청타워,11,5000,55,1,21,1997,개포로 623,신규,202107,10
강남구,개포동,3월 13일,13,3,대청타워,9,500,65,2,7,1997,개포로 623,신규,202108,17
강남구,개포동,3월 13일,13,3,대청타워,9,2000,60,1,5,1997,개포로 623,신규,202109,1
강남구,개포동,3월 13일,13,3,대청타워,9,1000,63,0,16,1997,개포로 623,신규,202109,1
강남구,개포동,3월 13일,13,3,대청타워,9,1000,55,1,9,1997,개포로 623,신규,202109,2
강남구,개포동,3월 13일,13,3,대청타워,9,500,65,1,22,1997,개포로 623,신규,202109,14
강남구,개포동,3월 13일,13,3,대청타워,9,500,65,1,14,1997,개포로 623,신규,202110,1
강남구,개포동,3월 13일,13,3,대청타워,9,500,65,2,6,1997,개포로 623,신규,202110,20
강남구,개포동,1236-4,1236,4,디오빌,6,1000,60,2,4,2005,논현로18길 10-10,-,202106,7
강남구,개포동,186-13,186,13,메트하임,6,1000,90,1,15,2018,개포로 504,신규,202109,25
강남구,개포동,186-13,186,13,메트하임,6,5000,70,1,9,2018,개포로 504,신규,202109,25
강남구,개포동,186-13,186,13,메트하임,6,1000,94,1,16,2018,개포로 504,-,202110,6
강남구,개포동,186-13,186,13,메트하임,6,1000,89,1,16,2018,개포로 504,신규,202110,6
강남구,개포동,1229-10,1229,10,하우징허브럭스,18,2000,115,1,6,2017,논현로 72,갱신,202106,7
강남구,개포동,1229-10,1229,10,하우징허브럭스,17,15000,140,2,2,2017,논현로 72,-,202108,26
강남구,논현동,128-6,128,6,N168,7,1000,115,1,9,2021,학동로 168,-,202109,6
강남구,논현동,241-1,241,1,강남파라곤,22,5000,215,2,14,2007,학동로 338,-,202106,19
강남구,논현동,241-1,241,1,강남파라곤,14,2000,210,1,19,2007,학동로 338,신규,202110,4
강남구,논현동,225-6,225,6,논현 아이파크,8,2000,150,2,9,2020,언주로 615,신규,202108,13
강남구,논현동,225-6,225,6,논현 아이파크,8,20000,80,2,2,2020,언주로 615,-,202109,16
강남구,논현동,6월 21일,6,21,세양 APEX-TOWER,12,1000,85,2,4,2003,도산대로 158,신규,202111,18
강남구,논현동,277-36,277,36,이안 논현,26,15000,250,2,8,2006,봉은사로 307,-,202106,7
강남구,논현동,192-15,192,15,휴먼스페이스주상복합,11,2000,120,1,5,2003,논현로111길 3,-,202107,20
강남구,대치동,945-29,945,29,CO-OP Residence/삼성역,4,300,60,1,4,2004,테헤란로92길 13,신규,202107,3
강남구,대치동,945-29,945,29,CO-OP Residence/삼성역,4,400,58,1,8,2004,테헤란로92길 13,신규,202107,22
강남구,대치동,945-29,945,29,CO-OP Residence/삼성역,4,300,58,1,8,2004,테헤란로92길 13,신규,202108,9
강남구,대치동,945-29,945,29,CO-OP Residence/삼성역,4,300,60,1,6,2004,테헤란로92길 13,신규,202108,9
강남구,대치동,945-29,945,29,CO-OP Residence/삼성역,4,500,56,1,10,2004,테헤란로92길 13,신규,202112,15
강남구,대치동,945-29,945,29,CO-OP Residence/삼성역,4,300,60,0,2,2004,테헤란로92길 13,신규,202112,31
강남구,대치동,622-1,622,1,대치 클래시아,6,1000,125,1,7,2015,남부순환로 2927,-,202102,15
강남구,대치동,622-1,622,1,대치 클래시아,9,3000,161,1,12,2015,남부순환로 2927,-,202105,22
강남구,대치동,622-1,622,1,대치 클래시아,6,1000,125,1,7,2015,남부순환로 2927,신규,202107,1
강남구,대치동,622-1,622,1,대치 클래시아,6,1000,126,1,10,2015,남부순환로 2927,-,202107,22
강남구,대치동,622-1,622,1,대치 클래시아,9,3000,180,0,12,2015,남부순환로 2927,신규,202109,25
강남구,대치동,622-1,622,1,대치 클래시아,6,1000,136,1,10,2015,남부순환로 2927,신규,202111,10
강남구,대치동,622-1,622,1,대치 클래시아,6,1000,126,1,11,2015,남부순환로 2927,신규,202112,3
강남구,대치동,622-1,622,1,대치 클래시아,6,1000,130,1,7,2015,남부순환로 2927,신규,202112,29
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,9,4000,165,1,12,2019,영동대로85길 20,-,202105,12
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,1000,95,1,7,2019,영동대로85길 20,-,202105,27
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,1000,94,1,13,2019,영동대로85길 20,-,202106,1
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,1000,100,1,8,2019,영동대로85길 20,-,202106,3
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,10000,65,1,13,2019,영동대로85길 20,-,202106,4
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,1000,105,1,12,2019,영동대로85길 20,신규,202109,3
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,5000,83,1,12,2019,영동대로85길 20,갱신,202109,6
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,9,15000,106,1,5,2019,영동대로85길 20,신규,202109,10
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,2000,91,1,8,2019,영동대로85길 20,신규,202111,15
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,1000,89,1,12,2019,영동대로85길 20,신규,202112,10
강남구,대치동,945-20,945,20,대치3차 아이파크 오피스텔,6,3000,89,1,5,2019,영동대로85길 20,신규,202112,18
강남구,대치동,891-23,891,23,대치동 대우아이빌 명문가,10,5000,60,1,3,2004,선릉로90길 56,신규,202111,16
강남구,대치동,891-26,891,26,대치동대우아이빌멤버스,10,2000,85,2,5,2003,삼성로85길 42,-,202107,9
강남구,대치동,891-38,891,38,대치트레비스타 101동,5,1000,84,1,6,2020,선릉로90길 68,신규,202107,10
강남구,대치동,891-63,891,63,대치트레비스타 102동,5,15000,30,1,8,2020,선릉로90길 66,신규,202107,20
강남구,대치동,891-63,891,63,대치트레비스타 102동,5,8000,52,1,6,2020,선릉로90길 66,신규,202108,21
강남구,대치동,891-63,891,63,대치트레비스타 102동,5,1000,85,1,8,2020,선릉로90길 66,-,202110,14
강남구,대치동,891-63,891,63,대치트레비스타 102동,5,4500,50,1,2,2020,선릉로90길 66,신규,202111,19
강남구,대치동,938,938,0,삼환 아르누보2,7,1000,102,1,6,2004,도곡로 405,신규,202112,10
강남구,대치동,890-59,890,59,선릉역 롯데골드로즈2,10,1000,89,1,12,2004,선릉로86길 31,-,202107,9
강남구,대치동,890-59,890,59,선릉역 롯데골드로즈2,13,1500,110,0,17,2004,선릉로86길 31,-,202107,19
